datetime,MsgNumber,StateAfter
2025-05-23 20:55:41,2803,1
2025-05-23 20:56:52,2803,0
2025-05-23 20:56:52,2803,1
2025-05-24 13:38:32,2803,0
2025-05-24 13:38:32,2803,1
2025-05-24 13:38:59,2803,0
2025-05-24 13:38:59,2803,1
2025-05-24 13:39:10,2803,0
2025-05-24 13:39:10,2803,1
2025-05-24 13:39:39,2803,0
2025-05-24 13:39:39,2803,1
2025-05-24 13:39:48,2803,0
2025-05-24 13:39:48,2803,1
2025-05-24 13:39:58,2803,0
2025-05-24 13:39:58,2803,1
2025-05-24 13:40:21,2803,0
2025-05-24 13:40:21,2803,1
2025-05-24 13:40:54,2803,0
2025-05-24 13:40:54,2803,1
2025-05-24 13:41:00,2803,0
2025-05-24 13:41:00,2803,1
2025-05-24 13:41:11,2803,0
2025-05-24 13:41:11,2803,1
2025-05-24 13:41:56,2803,0
2025-05-24 13:41:56,2803,1
2025-05-24 13:42:03,2803,0
2025-05-24 13:42:03,2803,1
2025-05-24 13:42:23,2803,0
2025-05-24 13:42:23,2803,1
2025-05-24 13:42:33,2803,0
2025-05-24 13:42:34,2803,1
2025-05-24 13:42:38,2803,0
2025-05-24 13:42:38,2803,1
2025-05-24 13:43:11,2803,0
2025-05-24 13:43:12,2803,1
2025-05-24 13:43:22,2803,0
2025-05-24 13:43:22,2803,1
2025-05-24 13:43:27,2803,0
2025-05-24 13:43:27,2803,1
2025-05-24 13:43:46,2803,0
2025-05-24 13:43:46,2803,1
2025-05-24 13:43:52,2803,0
2025-05-24 13:43:52,2803,1
2025-05-24 13:44:22,2803,0
2025-05-24 13:44:22,2803,1
2025-05-24 13:44:41,2803,0
2025-05-24 13:44:41,2803,1
2025-05-24 13:44:47,2803,0
2025-05-24 13:44:47,2803,1
2025-05-24 13:44:49,2803,0
2025-05-24 13:44:50,2803,1
2025-05-24 13:45:10,2803,0
2025-05-24 13:45:10,2803,1
2025-05-24 13:45:44,2803,0
2025-05-24 13:45:44,2803,1
2025-05-24 13:45:59,2803,0
2025-05-24 13:45:59,2803,1
2025-05-24 13:46:07,2803,0
2025-05-24 13:46:07,2803,1
2025-05-24 13:46:13,2803,0
2025-05-24 13:46:13,2803,1
2025-05-24 13:46:22,2803,0
2025-05-24 13:46:22,2803,1
2025-05-24 13:46:32,2803,0
2025-05-24 13:46:32,2803,1
2025-05-24 13:46:59,2803,0
2025-05-24 13:46:59,2803,1
2025-05-24 13:47:26,2803,0
2025-05-24 13:47:26,2803,1
2025-05-24 13:47:28,2803,0
2025-05-24 13:47:28,2803,1
2025-05-24 13:47:36,2803,0
2025-05-24 13:47:36,2803,1
2025-05-24 13:48:01,2803,0
2025-05-24 13:48:02,2803,1
2025-05-24 13:48:22,2803,0
2025-05-24 13:48:22,2803,1
2025-05-24 13:48:30,2803,0
2025-05-24 13:48:30,2803,1
2025-05-24 13:48:38,2803,0
2025-05-24 13:48:38,2803,1
2025-05-24 13:48:42,2803,0
2025-05-24 13:48:42,2803,1
2025-05-24 13:49:03,2803,0
2025-05-24 13:49:03,2803,1
2025-05-24 13:49:21,2803,0
2025-05-24 13:49:22,2803,1
2025-05-24 13:49:32,2803,0
2025-05-24 13:49:32,2803,1
2025-05-24 13:49:44,2803,0
2025-05-24 13:49:44,2803,1
2025-05-24 13:49:50,2803,0
2025-05-24 13:49:50,2803,1
2025-05-24 13:49:58,2803,0
2025-05-24 13:49:58,2803,1
2025-05-24 13:50:12,2803,0
2025-05-24 13:50:12,2803,1
2025-05-24 13:50:26,2803,0
2025-05-24 13:50:26,2803,1
2025-05-24 13:50:34,2803,0
2025-05-24 13:50:35,2803,1
2025-05-24 13:50:41,2803,0
2025-05-24 13:50:41,2803,1
2025-05-24 13:50:55,2803,0
2025-05-24 13:50:55,2803,1
2025-05-24 13:51:03,2803,0
2025-05-24 13:51:03,2803,1
2025-05-24 13:51:19,2803,0
2025-05-24 13:51:19,2803,1
2025-05-24 13:51:37,2803,0
2025-05-24 13:51:37,2803,1
2025-05-24 13:52:00,2803,0
2025-05-24 13:52:00,2803,1
2025-05-24 13:52:08,2803,0
2025-05-24 13:52:08,2803,1
2025-05-24 13:52:16,2803,0
2025-05-24 13:52:16,2803,1
2025-05-24 13:52:24,2803,0
2025-05-24 13:52:24,2803,1
2025-05-24 13:52:32,2803,0
2025-05-24 13:52:32,2803,1
2025-05-24 13:52:40,2803,0
2025-05-24 13:52:40,2803,1
2025-05-24 13:52:48,2803,0
2025-05-24 13:52:48,2803,1
2025-05-24 13:52:56,2803,0
2025-05-24 13:52:56,2803,1
2025-05-24 13:53:04,2803,0
2025-05-24 13:53:05,2803,1
2025-05-24 13:53:13,2803,0
2025-05-24 13:53:13,2803,1
2025-05-24 13:53:21,2803,0
2025-05-24 13:53:21,2803,1
2025-05-24 13:53:29,2803,0
2025-05-24 13:53:29,2803,1
2025-05-24 13:53:45,2803,0
2025-05-24 13:53:45,2803,1
2025-05-24 13:53:53,2803,0
2025-05-24 13:53:53,2803,1
2025-05-24 13:54:09,2803,0
2025-05-24 13:54:09,2803,1
2025-05-24 13:54:25,2803,0
2025-05-24 13:54:26,2803,1
2025-05-24 13:54:34,2803,0
2025-05-24 13:54:34,2803,1
2025-05-24 13:54:48,2803,0
2025-05-24 13:54:48,2803,1
2025-05-24 13:54:56,2803,0
2025-05-24 13:54:56,2803,1
2025-05-24 13:55:10,2803,0
2025-05-24 13:55:10,2803,1
2025-05-24 13:55:34,2803,0
2025-05-24 13:55:34,2803,1
2025-05-24 13:55:59,2803,0
2025-05-24 13:55:59,2803,1
2025-05-24 13:56:05,2803,0
2025-05-24 13:56:05,2803,1
2025-05-24 13:56:23,2803,0
2025-05-24 13:56:23,2803,1
2025-05-24 13:56:29,2803,0
2025-05-24 13:56:29,2803,1
2025-05-24 13:56:39,2803,0
2025-05-24 13:56:39,2803,1
2025-05-24 13:56:55,2803,0
2025-05-24 13:56:55,2803,1
2025-05-24 13:57:03,2803,0
2025-05-24 13:57:04,2803,1
2025-05-24 13:57:12,2803,0
2025-05-24 13:57:12,2803,1
2025-05-24 13:57:20,2803,0
2025-05-24 13:57:20,2803,1
2025-05-24 13:57:28,2803,0
2025-05-24 13:57:28,2803,1
2025-05-24 13:57:36,2803,0
2025-05-24 13:57:36,2803,1
2025-05-24 13:57:44,2803,0
2025-05-24 13:57:44,2803,1
2025-05-24 13:57:52,2803,0
2025-05-24 13:57:52,2803,1
2025-05-24 13:58:00,2803,0
2025-05-24 13:58:00,2803,1
2025-05-24 13:58:08,2803,0
2025-05-24 13:58:08,2803,1
2025-05-24 13:58:22,2803,0
