SeqNo,Date,UTC Time,datetime,[°C*10] LCC_CABINET_TEMP,[°C*10] LCC_CABINET_HUM,[%] LCC_UPS_BATT_LVL,[bar] HPU_SYSTEM_PRESSURE,[°C*10] HPU_OIL_TEMPERATURE,[rpm] HPU_MOTOR_SPEED,[W] HPU_MOTOR_POWER,[V] BATTERIES_VOLTAGE,[A*10] BATTERIES_CURRENT,[kWh] BATTERIES_CAPACITY,[%] BATTERIES_SOC,[A*10] CHARGER_CURRENT,FRONT_LINKS_UL_POS,FRONT_LINKS_UL_SPEED,FRONT_LINKS_UL_VALVE,FRONT_LINKS_UR_POS,FRONT_LINKS_UR_SPEED,FRONT_LINKS_UR_VALVE,FRONT_LINKS_LL_POS,FRONT_LINKS_LL_SPEED,FRONT_LINKS_LL_VALVE,FRONT_LINKS_LR_POS,FRONT_LINKS_LR_SPEED,FRONT_LINKS_LR_VALVE,[°*10] TUGGER ROTATION,[°/s*100] TUGGER ROTATION SPEED,[bar] TUGGER PRESSURE A,[bar] TUGGER PRESSURE B,[bar] TUGGER PRESSURE BRAKE,[%] TUGGER VALVE,[mm] COG LEFT POSITION,[mm*100] COG LEFT SPEED,[bar] COG LEFT BOTTOMSIDE PRESSURE,[bar] COG LEFT RODSIDE PRESSURE,[mm] COG RIGHT POSITION,[mm*100] COG RIGHT SPEED,[bar] COG RIGHT BOTTOMSIDE PRESSURE,[bar] COG RIGHT RODSIDE PRESSURE,[%] COG VALVE FEEDBACK
126049,2025-09-28,19:40:13.192,2025-09-28 19:40:13.192,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.0,0.390625,522.635,0.0,1.034433,577.205,0.0,-0.1302083,577.13,0.0,0.1012731,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126050,2025-09-28,19:40:13.704,2025-09-28 19:40:13.704,224,521,100,0,239,0,0,735,123,105,99,147,523.05,0.09692828,0.9042245,522.63,0.0,1.193576,577.21,0.0,-0.02893518,577.13,0.0,0.2314815,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126051,2025-09-28,19:40:14.217,2025-09-28 19:40:14.217,224,521,100,0,239,0,0,735,123,105,99,147,523.05,0.0,0.3472222,522.635,0.0,1.027199,577.205,0.0,-0.1446759,577.13,0.0,0.1302083,0,0,0,0,0,0,31,0,25,37,31,-12,24,36,1
126052,2025-09-28,19:40:14.729,2025-09-28 19:40:14.729,224,521,100,0,239,0,0,735,122,105,99,147,523.055,-0.1116888,0.4557292,522.635,0.0,0.9548611,577.205,0.0,-0.03616898,577.13,0.0,0.2025463,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126053,2025-09-28,19:40:15.244,2025-09-28 19:40:15.244,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.0,0.3978588,522.63,0.0,1.034433,577.205,0.0,-0.1085069,577.13,-0.09608132,0.1591435,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126054,2025-09-28,19:40:15.757,2025-09-28 19:40:15.757,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.0,0.4484954,522.635,0.1009289,0.9548611,577.205,0.06304513,-0.02170139,577.13,0.0,0.1663773,0,0,0,0,0,0,31,0,25,37,31,0,24,36,1
126055,2025-09-28,19:40:16.272,2025-09-28 19:40:16.272,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.09323191,1.236979,522.63,0.1000114,1.20081,577.21,0.0,-0.1446759,577.13,0.0,0.2387153,0,0,0,0,0,0,31,10,25,37,31,0,24,36,1
126056,2025-09-28,19:40:16.785,2025-09-28 19:40:16.785,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.0,0.4412616,522.63,0.0,0.9548611,577.205,0.0,-0.02170139,577.13,0.0,0.1663773,0,0,0,0,0,0,31,10,25,37,31,10,24,36,1
126057,2025-09-28,19:40:17.299,2025-09-28 19:40:17.299,224,521,100,0,239,0,0,735,123,105,99,147,523.055,0.1004691,0.3761574,522.635,0.0,1.034433,577.205,0.0,-0.1519097,577.13,0.0,0.1157407,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
126058,2025-09-28,19:40:17.812,2025-09-28 19:40:17.812,224,521,100,0,239,0,0,735,122,105,99,147,523.05,0.0,0.4340278,522.63,0.0,0.9548611,577.205,0.0,-0.01446759,577.13,0.09091993,0.1736111,0,0,0,0,0,0,31,-10,25,37,31,0,24,36,1
